CHROM	POS	FST	PIA	PIB	PIR	is_select
NC_089873.1	102313345	4.39355340415326	0.251754	0.0138889	4.18001045311135	white selected region
NC_089873.1	103357921	4.75296388335065	0.118421	0.421814	-1.83268203726372	spot selected region
NC_089873.1	103531942	4.71108935012765	0.0412281	0.348096	-3.07778535486425	spot selected region
NC_089873.1	103548284	7.19593473359233	0.120796	0.472028	-1.96629975813975	spot selected region
NC_089873.1	103553957	4.03610815575695	0.0997807	0.39122	-1.97114743026472	spot selected region
NC_089873.1	103554189	4.26263879848136	0.0997807	0.39122	-1.97114743026472	spot selected region
NC_089873.1	103584557	4.01082470564306	0.0807018	0.377622	-2.22627006024831	spot selected region
NC_089873.1	104333778	4.6538331065962	0.0611842	0.370532	-2.59836709293123	spot selected region
NC_089873.1	104337768	3.71966820388315	0.0997807	0.381181	-1.93364351422534	spot selected region
NC_089873.1	104710672	4.07941881918073	0.320833	0.0675019	2.2488225251707	white selected region
NC_089873.1	104714899	4.24865542547368	0.307895	0.0543901	2.50102245579802	white selected region
NC_089873.1	104726109	4.21789200485678	0.307895	0.0543901	2.50102245579802	white selected region
NC_089873.1	10531547	5.97994817542451	0.0412281	0.39122	-3.24628024465573	spot selected region
NC_089873.1	10531552	4.53992530593364	0.0208333	0.323912	-3.95863863093718	spot selected region
NC_089873.1	105453537	4.70073409552196	0.357018	0.0804196	2.15037774791624	white selected region
NC_089873.1	105469316	5.18807354128961	0.118421	0.432692	-1.86941550547096	spot selected region
NC_089873.1	105534006	3.76199625190639	0.345395	0.093143	1.8907279431862	white selected region
NC_089873.1	106363880	3.80723435323124	0.0412281	0.323912	-2.97390203562523	spot selected region
NC_089873.1	106614027	4.52359877312468	0.118421	0.416084	-1.81294987069244	spot selected region
NC_089873.1	106614163	4.49446044720867	0.0807018	0.384518	-2.25237837766734	spot selected region
NC_089873.1	106614385	3.89948682218191	0.0997807	0.384518	-1.94621843944046	spot selected region
NC_089873.1	106614504	4.28028808279105	0.118421	0.410159	-1.79225834375966	spot selected region
